1,254,201131_s_at,,CDH1 Chr:16q22.1
2,1060,206100_at,,CPM Chr:12q14.3
3,387,202246_s_at,,CDK4 Chr:12q14
4,533,203226_s_at,,SAS Chr:12q13.3
5,534,203227_s_at,,SAS Chr:12q13.3
6,67,1555385_at,,GALGT Chr:12q13.3
7,1882,214951_at,,SLC26A10 Chr:12q13
8,1103,206435_at,,GALGT Chr:12q13.3
9,218,200714_x_at,,OS-9 Chr:12q13
10,1917,215399_s_at,,OS-9 Chr:12q13
11,1614,212656_at,,TSFM Chr:12q13-q14
12,1830,214331_at,,TSFM Chr:12q13-q14
13,1831,214332_s_at,,TSFM Chr:12q13-q14
14,194,1568706_s_at,,--- ---
15,976,205539_at,,AVIL Chr:12q13.2
16,2641,226546_at,,--- ---
17,3610,238999_at,,--- ---
18,1550,211832_s_at,,MDM2 Chr:12q14.3-q15
19,1970,217373_x_at,,MDM2 Chr:12q14.3-q15
20,1977,217542_at,,MGC5370 Chr:12q14.3
21,940,205386_s_at,,MDM2 Chr:12q14.3-q15
22,2491,225160_x_at,,MGC5370 Chr:12q14.3
23,3060,229711_s_at,,MGC5370 Chr:12q14.3
24,3590,238733_at,,--- ---
25,2053,218768_at,,NUP107 Chr:12q14.3
26,2804,227678_at,,KUB3 Chr:12q13.2
27,3703,241765_at,,CPM Chr:12q14.3
28,670,204027_s_at,,METTL1 Chr:12q13
29,1001,205676_at,,CYP27B1 Chr:12q13.1-q13.3
30,1767,213861_s_at,,DKFZP586D0919 Chr:12q13.2
31,2631,226454_at,,LOC92979 Chr:12q13.2
32,3085,229917_at,,--- ---
33,3096,230001_at,,LOC92979 Chr:12q13.2
34,3429,235721_at,,DTX3 Chr:12q13.2
35,3830,244675_at,,RGS8 Chr:1q25
36,3367,235019_at,,CPM Chr:12q14.3
37,3428,235706_at,,CPM Chr:12q14.3
38,2441,224489_at,,LOC284058 Chr:17q21.32
39,3859,AFFX-M27830_5_at,,--- ---
